x,y,z,intensity,return_number,number_of_returns,scan_direction_flag,edge_of_flight_line,classification,synthetic,key_point,withheld,scan_angle_rank,user_data,point_source_id,gps_time
829527.0964140589,5932634.962890164,534.26,6,1,1,0,0,2,0,0,0,-22,2,2102,363513798.9605133
829527.1407153237,5932637.705559322,535.13,3,1,1,0,0,1,0,0,0,-22,1,2102,363513798.9672848
829527.0393185781,5932643.924167419,534.1800000000001,6,1,1,0,0,2,0,0,0,-22,2,2102,363513798.9808264
829527.0248792174,5932645.097494515,534.15,6,1,1,0,0,2,0,0,0,-22,2,2102,363513798.9875957
829526.9081013701,5932646.30017391,534.21,3,1,1,0,0,2,0,0,0,-22,2,2102,363513798.9943652
829527.2003866937,5932645.478799439,534.19,6,1,1,0,0,2,0,0,0,-22,2,2102,363513798.9943642
829526.8795103166,5932650.5094830105,534.1,6,1,1,0,0,2,0,0,0,-22,2,2102,363513799.007906
829527.1425563064,5932649.688116429,534.19,6,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0079052
829527.1284198465,5932652.812101444,534.2,8,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0146766
829527.1582492316,5932656.610742634,534.17,7,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0214488
829526.8805804821,5932657.402784368,534.24,8,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0214497
829527.1003907031,5932660.6294021895,534.26,8,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0282212
829526.9692560036,5932663.548074829,534.21,8,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0349926
829527.0863080823,5932664.105388256,534.23,8,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0417613
829527.0570842455,5932664.222724311,534.19,9,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0485297
829527.1450060034,5932665.498705416,534.19,7,1,1,0,0,2,0,0,0,-22,2,2102,363513799.055299
829526.8965668041,5932666.217410006,534.25,8,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0552999
829527.1454202536,5932668.168029785,534.23,8,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0620703
829526.8823727645,5932668.974734189,534.22,8,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0620712
829527.1606460792,5932672.069348578,534.27,5,2,2,0,0,2,0,0,0,-22,2,2102,363513799.0688425
829526.8829751796,5932672.861388311,534.24,8,1,1,0,0,2,0,0,0,-22,2,2102,363513799.0688434
829527.2195559109,5932674.636057974,536.04,9,1,1,0,0,1,0,0,0,-22,1,2102,363513799.0756146
829526.8980649856,5932675.765416511,535.4,8,1,1,0,0,1,0,0,0,-22,1,2102,363513799.0756156
829527.2055134306,5932678.508005265,534.73,5,2,2,0,0,2,0,0,0,-22,2,2102,363513799.082386
829527.1327637682,5932680.796009791,534.69,8,2,2,0,0,2,0,0,0,-22,2,2102,363513799.0891568
829526.8697094148,5932681.558716116,534.7,11,2,2,0,0,2,0,0,0,-22,2,2102,363513799.0891577
829527.016085272,5932682.644025701,534.74,12,1,1,0,0,2,0,0,0,-22,2,2102,363513799.095927
829527.1769427528,5932682.834667242,534.75,13,1,1,0,0,2,0,0,0,-22,2,2102,363513799.1026955
829526.9285001281,5932683.538705253,534.77,12,1,1,0,0,2,0,0,0,-22,2,2102,363513799.1026964
829527.0739549255,5932678.581392413,535.72,9,1,1,0,0,1,0,0,0,-22,1,2102,363513799.0823869
829526.9573604644,5932680.986735179,535.63,4,1,2,0,0,1,0,0,0,-22,1,2102,363513799.0891577
829527.1480058484,5932684.800001328,534.75,12,1,1,0,0,2,0,0,0,-22,2,2102,363513799.1094658
829526.8849554221,5932685.592040272,534.73,11,1,1,0,0,2,0,0,0,-22,2,2102,363513799.1094668
829527.0022515302,5932687.733349209,534.65,9,1,1,0,0,2,0,0,0,-22,2,2102,363513799.1162374
829527.0320029437,5932691.018675724,534.71,8,1,1,0,0,2,0,0,0,-22,2,2102,363513799.123009
829527.0763129361,5932693.7613795865,536.09,6,1,1,0,0,1,0,0,0,-22,1,2102,363513799.1297812
829527.0914885526,5932697.501325021,534.61,7,2,2,0,0,2,0,0,0,-22,2,2102,363513799.1365524
829527.0186868875,5932699.466664143,534.46,8,1,1,0,0,2,0,0,0,-22,2,2102,363513799.1433229
829527.1943183369,5932700.639971701,534.51,3,2,2,0,0,2,0,0,0,-23,2,2102,363513799.1500924
829526.945875425,5932701.329349544,534.6800000000001,4,2,2,0,0,2,0,0,0,-23,2,2102,363513799.1500933
829527.0037331851,5932697.105400758,536.44,4,1,2,0,0,6,0,0,0,-22,26,2102,363513799.1365533
829526.9605791674,5932701.417488666,538.86,3,2,2,0,0,1,0,0,0,-23,1,2102,363513799.1568647
829526.9684674079,5932752.780167808,534.71,15,1,1,0,0,2,0,0,0,-23,2,2102,363513799.2922852
829527.1150482711,5932755.200154864,534.57,6,1,1,0,0,2,0,0,0,-23,2,2102,363513799.3058248
829527.2175283142,5932756.065477955,534.58,6,1,1,0,0,2,0,0,0,-23,2,2102,363513799.3125943
829527.1886578595,5932758.470828204,534.49,11,1,1,0,0,2,0,0,0,-23,2,2102,363513799.3193655
829526.9690836143,5932756.769521826,534.6,5,1,1,0,0,2,0,0,0,-23,2,2102,363513799.3125951
829526.881759288,5932759.365549306,534.51,8,1,1,0,0,2,0,0,0,-23,2,2102,363513799.3193665
829527.1728580936,5932750.140341293,541.23,3,1,2,0,0,3,0,0,0,-23,3,2102,363513799.2922871
829526.9311166487,5932699.232399515,545.94,3,1,2,0,0,6,0,0,0,-23,6,2102,363513799.1568674
829527.1360082825,5932700.508374897,546.16,2,1,1,0,0,6,0,0,0,-23,6,2102,363513799.163637
829526.8729601016,5932701.329744869,546.03,2,2,2,0,0,6,0,0,0,-23,6,2102,363513799.163638
829527.1505375948,5932699.6431263,548.73,3,1,2,0,0,6,0,0,0,-23,6,2102,363513799.163638
829526.9608858356,5932702.327160024,548.85,3,1,1,0,0,6,0,0,0,-23,6,2102,363513799.1704095
829527.1514250708,5932705.348467785,548.94,5,1,1,0,0,6,0,0,0,-23,6,2102,363513799.177181
829526.9176078729,5932706.0965023,548.87,4,1,1,0,0,6,0,0,0,-23,6,2102,363513799.1771818
829527.210416719,5932708.457848929,550.5600000000001,4,1,1,0,0,6,0,0,0,-23,6,2102,363513799.1839538
829527.1378137904,5932711.669870104,550.75,9,1,1,0,0,6,0,0,0,-23,6,2102,363513799.1907258
829526.8747580114,5932712.432578081,550.73,8,1,1,0,0,6,0,0,0,-23,6,2102,363513799.1907267
829527.1526137386,5932712.82853531,550.73,8,1,1,0,0,6,0,0,0,-23,6,2102,363513799.1974956
829526.9187877504,5932713.517904719,550.69,9,1,1,0,0,6,0,0,0,-23,6,2102,363513799.1974964
829527.2112079568,5932713.547193519,550.72,8,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2042648
829527.1541003879,5932722.816430375,547.0600000000001,4,2,2,0,0,6,0,0,0,-23,6,2102,363513799.2245774
829526.8910426674,5932723.564473976,547.08,8,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2245783
829527.1983865662,5932725.544433118,547.13,8,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2313487
829526.9335407891,5932714.368571384,550.72,8,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2042657
829527.1384116109,5932715.527209342,550.76,9,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2110353
829527.0950166445,5932718.489905182,551.26,10,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2178072
829526.9353326475,5932726.321809017,547.11,8,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2313496
829526.9941950594,5932728.771140307,547.1,8,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2381206
829527.2137842342,5932730.560445634,547.11,9,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2448909
829526.9361147534,5932731.367159378,547.14,9,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2448919
829527.1410013823,5932732.628465597,547.15,9,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2516617
